,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
10407,20-Sep,서귀포시,정방동,숙박,6,1460000,3646482.455,2021-07-28
10413,20-Sep,서귀포시,중문동,숙박,313,79999731,11241808.68,2021-07-28
10432,20-Sep,서귀포시,예래동,숙박,3270,1759680917,6033472.717,2021-07-28
10466,20-Sep,서귀포시,천지동,숙박,139,12636410,8999080.127,2021-07-28
10532,20-Sep,서귀포시,중앙동,숙박,6,1460000,4464560.108,2021-07-28
10546,20-Oct,제주시,연동,숙박,2889,929274952,49615288.37,2021-07-28
10581,20-Oct,제주시,애월읍,숙박,151,24976453,44514781.66,2021-07-28
10610,20-Oct,제주시,용담1동,숙박,24,3738000,7462088.868,2021-07-28
10674,20-Oct,제주시,외도동,숙박,289,36301614,12547120.69,2021-07-28
10694,20-Oct,제주시,삼도1동,숙박,259,60737295,11419974.23,2021-07-28
10702,20-Oct,제주시,삼도2동,숙박,1760,522402574,7438255.221,2021-07-28
10838,20-Oct,제주시,조천읍,숙박,129,22977475,25232483.07,2021-07-28
10978,20-Oct,제주시,이도1동,숙박,647,133146287,12404917.56,2021-07-28
11064,20-Oct,제주시,일도1동,숙박,30,2408000,2972683.161,2021-07-28
11129,20-Oct,서귀포시,성산읍,숙박,20,990000,17089700.33,2021-07-28
11159,20-Oct,서귀포시,서홍동,숙박,180,20115709,7324130.105,2021-07-28
11226,20-Oct,서귀포시,영천동,숙박,1622,126913349,6384225.355,2021-07-28
11242,20-Oct,서귀포시,송산동,숙박,1633,129473349,22589889.7,2021-07-28
11293,20-Oct,서귀포시,대륜동,숙박,26,10680120,16344755.69,2021-07-28
11378,20-Oct,서귀포시,대천동,숙박,515,49241743,10179990.1,2021-07-28
11422,20-Oct,제주시,건입동,숙박,24,970000,10404565.6,2021-07-28
11499,20-Oct,제주시,노형동,숙박,107,6803000,56208880.13,2021-07-28
11533,20-Oct,제주시,구좌읍,숙박,2,270000,16648268.33,2021-07-28
11585,20-Oct,서귀포시,중문동,숙박,409,104118872,12362238.41,2021-07-28
11614,20-Oct,서귀포시,예래동,숙박,4508,2384548984,7300908.079,2021-07-28
11633,20-Oct,서귀포시,정방동,숙박,11,2560000,4418321.048,2021-07-28
11640,20-Oct,서귀포시,천지동,숙박,191,22675709,9393166.084,2021-07-28
11705,20-Oct,서귀포시,중앙동,숙박,11,2560000,4856000.526,2021-07-28
11717,20-Nov,제주시,연동,숙박,2953,1120044535,52498922.4,2021-07-28
