,년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
6352,20-Jun,제주시,일도1동,문화/레져,8420,923234234,2822062.576,2021-07-30
6379,20-Jun,제주시,일도2동,문화/레져,1059,86877900,26041582.35,2021-07-30
6412,20-Jun,제주시,이호동,문화/레져,240,7859900,4648346.122,2021-07-30
6440,20-Jun,서귀포시,송산동,문화/레져,4400,439356390,20948688.98,2021-07-30
6464,20-Jun,서귀포시,서홍동,문화/레져,4,8450000,6741948.074,2021-07-30
6473,20-Jun,서귀포시,성산읍,문화/레져,283,23304500,14808401.28,2021-07-30
6493,20-Jun,서귀포시,영천동,문화/레져,153,24329910,5809891.945,2021-07-30
6556,20-Jun,서귀포시,안덕면,문화/레져,247,17758300,18103224.06,2021-07-30
6580,20-Jun,서귀포시,대륜동,문화/레져,37,12038300,15152603.23,2021-07-30
6602,20-Jun,서귀포시,남원읍,문화/레져,300,12609510,14476274.16,2021-07-30
6637,20-Jun,서귀포시,대정읍,문화/레져,702,48848550,18098365.98,2021-07-30
6655,20-Jun,서귀포시,동홍동,문화/레져,1186,75139400,18693958.81,2021-07-30
6702,20-Jun,서귀포시,대천동,문화/레져,1,33000,8995485.036,2021-07-30
6710,20-Jun,서귀포시,예래동,문화/레져,842,65547500,6516917.864,2021-07-30
6717,20-Jun,제주시,건입동,문화/레져,1195,45148210,9710553.377,2021-07-30
6785,20-Jun,제주시,구좌읍,문화/레져,341,9961400,15015642.03,2021-07-30
6819,20-Jun,제주시,도두동,문화/레져,720,26743200,3328705.325,2021-07-30
6846,20-Jun,제주시,노형동,문화/레져,920,160993580,53894377.66,2021-07-30
6860,20-Jun,서귀포시,표선면,문화/레져,803,24398470,11264073.26,2021-07-30
6891,20-Jun,서귀포시,중문동,문화/레져,678,30580800,10934724.02,2021-07-30
6919,20-Jun,서귀포시,정방동,문화/레져,3129,343899480,3674632.056,2021-07-30
6942,20-Jun,서귀포시,천지동,문화/레져,3133,352349480,8424160.588,2021-07-30
6973,20-Jun,서귀포시,중앙동,문화/레져,3129,343899480,4642405.891,2021-07-30
7035,20-Jul,제주시,오라동,문화/레져,810,90784053,17762354.41,2021-07-30
7067,20-Jul,제주시,연동,문화/레져,3898,447697430,49268247.81,2021-07-30
7090,20-Jul,제주시,용담1동,문화/레져,151,13575000,7575560.87,2021-07-30
7099,20-Jul,제주시,용담2동,문화/레져,500,23670564,17895583.47,2021-07-30
7119,20-Jul,제주시,외도동,문화/레져,579,24511900,12044886.7,2021-07-30
7182,20-Jul,제주시,삼도2동,문화/레져,472,45096885,7512032.086,2021-07-30
7210,20-Jul,제주시,삼도1동,문화/레져,166,35940300,11544163.97,2021-07-30
7239,20-Jul,제주시,아라동,문화/레져,509,58512980,41227606.12,2021-07-30
7246,20-Jul,제주시,애월읍,문화/레져,1286,41469600,42137306.63,2021-07-30
7267,20-Jul,제주시,삼양동,문화/레져,1083,37976420,19581788.06,2021-07-30
7316,20-Jul,제주시,추자면,문화/레져,43,1236000,1856952.986,2021-07-30
7360,20-Jul,제주시,조천읍,문화/레져,938,38892888,24636330.11,2021-07-30
7372,20-Jul,제주시,일도2동,문화/레져,1110,71395430,27008694.33,2021-07-30
7405,20-Jul,제주시,화북동,문화/레져,423,49489600,26156673.75,2021-07-30
7423,20-Jul,제주시,한경면,문화/레져,272,7493000,8043214.501,2021-07-30
7433,20-Jul,제주시,한림읍,문화/레져,625,26245400,23412860.7,2021-07-30
7458,20-Jul,제주시,이도1동,문화/레져,317,33268880,12764387.46,2021-07-30
7467,20-Jul,제주시,이도2동,문화/레져,1523,161045340,56229367.7,2021-07-30
7502,20-Jul,제주시,우도면,문화/레져,974,45314000,1884408.443,2021-07-30
7528,20-Jul,제주시,일도1동,문화/레져,6984,680210190,2993611.652,2021-07-30
7589,20-Jul,제주시,이호동,문화/레져,257,7750215,5066027.783,2021-07-30
7622,20-Jul,서귀포시,송산동,문화/레져,4062,402067040,22274058.38,2021-07-30
7645,20-Jul,서귀포시,서홍동,문화/레져,5,9201850,6922233.611,2021-07-30
7654,20-Jul,서귀포시,성산읍,문화/레져,267,23446000,16439227.7,2021-07-30
7674,20-Jul,서귀포시,영천동,문화/레져,134,13559300,6028954.628,2021-07-30
7738,20-Jul,서귀포시,안덕면,문화/레져,220,13227350,18807377.36,2021-07-30
7760,20-Jul,서귀포시,대륜동,문화/레져,60,17621200,16285826.4,2021-07-30
7780,20-Jul,서귀포시,대정읍,문화/레져,699,36074850,18599692.38,2021-07-30
7783,20-Jul,서귀포시,남원읍,문화/레져,303,13453300,15707461.96,2021-07-30
7820,20-Jul,서귀포시,동홍동,문화/레져,1194,97455900,19783916.61,2021-07-30
7873,20-Jul,서귀포시,예래동,문화/레져,793,57951450,7319197.088,2021-07-30
7887,20-Jul,서귀포시,대천동,문화/레져,6,2472000,9822303.938,2021-07-30
7909,20-Jul,제주시,건입동,문화/레져,1291,42665180,10305450.48,2021-07-30
7967,20-Jul,제주시,구좌읍,문화/레져,438,12764500,16616148.13,2021-07-30
7997,20-Jul,제주시,도두동,문화/레져,858,27295500,3678348.887,2021-07-30
8028,20-Jul,제주시,노형동,문화/레져,774,115749130,56206103.47,2021-07-30
8075,20-Jul,서귀포시,중문동,문화/레져,635,28040000,11638480.23,2021-07-30
8105,20-Jul,서귀포시,정방동,문화/레져,2775,293735340,4110500.71,2021-07-30
8128,20-Jul,서귀포시,천지동,문화/레져,2780,302937190,8838553.596,2021-07-30
8137,20-Jul,서귀포시,표선면,문화/레져,1068,32837520,12027947.59,2021-07-30
8158,20-Jul,서귀포시,중앙동,문화/레져,2775,293735340,5075067.278,2021-07-30
8206,20-Aug,제주시,오라동,문화/레져,840,70065600,18293584.42,2021-07-28
8255,20-Aug,제주시,연동,문화/레져,3619,406079840,49842253.09,2021-07-28
8287,20-Aug,제주시,용담2동,문화/레져,299,15014225,18980441.09,2021-07-28
8296,20-Aug,제주시,용담1동,문화/레져,124,9809000,7528622.221,2021-07-28
8307,20-Aug,제주시,외도동,문화/레져,420,15582200,12453749.55,2021-07-28
8367,20-Aug,제주시,삼도2동,문화/레져,341,27773630,7654167.254,2021-07-28
8396,20-Aug,제주시,삼도1동,문화/레져,173,50808500,11434412.17,2021-07-28
8434,20-Aug,제주시,애월읍,문화/레져,993,27613412,45314311.06,2021-07-28
8446,20-Aug,제주시,아라동,문화/레져,452,49540200,39749112.07,2021-07-28
8453,20-Aug,제주시,삼양동,문화/레져,837,26452939,20415141.58,2021-07-28
8491,20-Aug,제주시,추자면,문화/레져,32,1328016,2065505.733,2021-07-28
8545,20-Aug,제주시,조천읍,문화/레져,1303,61564980,26688211.67,2021-07-28
8590,20-Aug,제주시,화북동,문화/레져,314,31870500,25505474.8,2021-07-28
8609,20-Aug,제주시,한경면,문화/레져,360,8972025,8508411.35,2021-07-28
8618,20-Aug,제주시,한림읍,문화/레져,690,29341429,24881316.47,2021-07-28
8646,20-Aug,제주시,이도1동,문화/레져,234,22222360,12684075.93,2021-07-28
8656,20-Aug,제주시,이도2동,문화/레져,1401,144644790,55570744.55,2021-07-28
8671,20-Aug,제주시,우도면,문화/레져,1955,90532000,2189404.866,2021-07-28
8704,20-Aug,제주시,일도2동,문화/레져,879,57674350,27089578.16,2021-07-28
8721,20-Aug,제주시,일도1동,문화/레져,6032,554925290,2969840.928,2021-07-28
8776,20-Aug,제주시,이호동,문화/레져,210,5718000,5329818.048,2021-07-28
8813,20-Aug,서귀포시,송산동,문화/레져,3859,357692407,22631970.21,2021-07-28
8830,20-Aug,서귀포시,서홍동,문화/레져,5,3433000,7145986.881,2021-07-28
8838,20-Aug,서귀포시,성산읍,문화/레져,405,21135400,18446177.94,2021-07-28
8859,20-Aug,서귀포시,영천동,문화/레져,135,22762600,5971022.193,2021-07-28
8874,20-Aug,서귀포시,예래동,문화/레져,897,56167550,8336270.244,2021-07-28
8922,20-Aug,서귀포시,안덕면,문화/레져,229,12686300,21813589.44,2021-07-28
8936,20-Aug,서귀포시,대륜동,문화/레져,39,8741800,17316741.16,2021-07-28
8947,20-Aug,서귀포시,대정읍,문화/레져,702,54717570,19507941.98,2021-07-28
8966,20-Aug,서귀포시,남원읍,문화/레져,288,14848100,16854131.98,2021-07-28
9004,20-Aug,서귀포시,동홍동,문화/레져,1210,87671357,19948635.72,2021-07-28
9068,20-Aug,서귀포시,대천동,문화/레져,6,3270000,10329930.17,2021-07-28
9087,20-Aug,제주시,건입동,문화/레져,841,26535400,10625927.44,2021-07-28
9095,20-Aug,제주시,구좌읍,문화/레져,503,15671000,17961278.2,2021-07-28
